REPYR,REPORT_NUM,FAC NAME,CHEM NAME,TRIFACID,FAC STREET1,FAC CITY,FAC ZIP,FAC COUNTY,CAS_NO,TECH NAME,TECH PHONE,TECH E-ADDRESS,CONT NAME,CONT PHONE,CONT_E-ADDRESS,NAICS,NAICS1,NAICS2,NAICS3,NAICS4,NAICS5,NAICS6,FORM A,FORM R,REVISION,REVISIONCODE1,REVISIONCODE2,WITHDRAWAL,WITHDRAWALCODE1,WITHDRAWALCODE2,MAX ONSITE,FUGITIVE,STACK,WATER1,RIVER1,WATER2,RIVER2,RCRA REL,LANDFILL,LANDFARM,LANDIMP,LANDIMP OTHR,LANDOTHR,METAL,METAL TO POTW,POTW,POTW2,OFF TRE,OFF STE REL1,OFF STE TRE1,OFF STATE1,OFF STE REL2,OFF STE TRE2,OFF STATE2,OFF STE REL3,OFF STE TRE3,OFF STATE3,OFF STE REL4,OFF STE TRE4,OFF STATE4,OFF STE REL5,OFF STE TRE5,OFF STATE5,OFF STE REL6,OFF STE TRE6,OFF STATE6,OFF STE REL7,OFF STE TRE7,OFF STATE7,OFF STE REL8,OFF STE TRE8,OFF STATE8,OFF STE REL9,OFF STE TRE9,OFF STATE9,ON ER B,OFF ER B,ON RCY B,OFF RCY B,ON TRE B,NON POTW OFF TRE,ACCID,P INDEX,CALC REL B,CALC OFF DIS,CALC OFF ER B,CALC OFF RCY B,RELEASE B,REL 81 A,REL 81 B,REL 81 C,REL 81 D,TOTAL TO AIR,TOTAL TO LAND,TOTAL TO WATER,FAC MAILSTREET1,FAC MAILCITY,FAC MAILSTREET2,FAC MAILSTATE,FAC MAILZIP,FAC MAILCOUNTY,CERT NAME,CERT TITLE,RIVERPERCENT1,RIVERPERCENT2,FUGITIVEBASIS,STACKBASIS,BASISCODE1,BASISCODE2,RCRA RELBASIS,LANDFILLBASIS,LANDFARMBASIS,LANDIMPBASIS,LANDIMP OTHRBASIS,LANDOTHRBASIS,POTWBASIS1,POTWFAC1,POTWCITY1,POTWSTATE1,POTWBASIS2,POTWFAC2,POTWCITY2,POTWSTATE2,OFF CITY1,OFF NAME1,OFF BASIS1,OFF CITY2,OFF NAME2,OFF BASIS2,OFF CITY3,OFF NAME3,OFF BASIS3,OFF CITY4,OFF NAME4,OFF BASIS4,OFF CITY5,OFF NAME5,OFF BASIS5,OFF CITY6,OFF NAME6,OFF BASIS6,OFF CITY7,OFF NAME7,OFF BASIS7,OFF CITY8,OFF NAME8,OFF BASIS8,OFF CITY9,OFF NAME9,OFF BASIS9,Geocoded Facility Location
2012,3694,AMICK FARMS,Manganese Compounds,19940LLNSMRTE13,10281 AMICK DRIVE,DELMAR,199403492,Sussex,N450,JAY WALL,3028469511,JAY.WALL@AMICKFARMS.COM,JAY WALL,3028469511,JAY.WALL@AMICKFARMS.COM,311,311119,,,,,,1,0,0,,,0,,,,0,0,0,,0,,0,0,0,0,0,0,1,,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,P.O. BOX 269,DELMAR,,DE,199400269,,Jay Wall,Mill Manager,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,3695,AMICK FARMS,Zinc Compounds,19940LLNSMRTE13,10281 AMICK DRIVE,DELMAR,199403492,Sussex,N982,JAY WALL,3028469511,JAY.WALL@AMICKFARMS.COM,JAY WALL,3028469511,JAY.WALL@AMICKFARMS.COM,311,311119,,,,,,1,0,0,,,0,,,,0,0,0,,0,,0,0,0,0,0,0,1,,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,P.O. BOX 269,DELMAR,,DE,199400269,,Jay Wall,Mill Manager,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,3280,DOVER AFB,Xylene (mixed isomers),19902DVRRF436SP,436 CES/CC 600 CHEVRON AVE,DOVER AFB,19902,Kent,1330-20-7,STEVEN SEIP,3026776839,STEVEN.SEIP@US.AF.MIL,JENNIFER VALLEE,3026773370,,928,928110,,,,,,0,1,0,,,0,,,9,95,8,0,,0,,0,0,0,0,0,0,,,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0.689999998,103,0,0,0,0,0,103,0,0,,,,,,,,,,Steven Seip,Environmental Quality Element Chief,0,0,E2,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,5376,AEARO TECHNOLOGIES LLC,Diisocyanates,19713SPCLT650DA,650 DAWSON DR,NEWARK,19713,New Castle,N120,Dale Johnson,4439077334,djohnson22@mmm.com,TOM FLAHERTY,3022862415,TOM.FLAHERTY@MMM.COM,326,326150,,,,,,0,1,0,,,0,,,4,2,1,0,,0,,0,0,0,0,0,0,0,,0,0,7475,7475,M50,MN,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,1.38,3,0,0,0,0,0,3,0,0,3,0,0,,,,,,New Castle,Tom Flaherty,Plant Manager,0,0,E2,E2,,,,,,,,,,,,,,,,,COTTAGE GROVE,3M COMPANY,C,,,,,,,,,,,,,,,,,,,,,,,,,"650 DAWSON DR
NEWARK, DE 19713
(39.650748, -75.731018)"
2020,5377,AEARO TECHNOLOGIES LLC,Toluene diisocyanate (mixed isomers),19713SPCLT650DA,650 DAWSON DR,NEWARK,19713,New Castle,26471-62-5,Dale Johnson,4439077334,djohnson22@mmm.com,TOM FLAHERTY,3022862415,TOM.FLAHERTY@MMM.COM,326,326150,,,,,,0,1,0,,,0,,,3,4,1,0,,0,,0,0,0,0,0,0,0,,0,0,1074,1074,M50,MN,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0.68,5,0,0,0,0,0,5,0,0,5,0,0,,WILMINGTON,,DE,19808,New Castle,Tom Flaherty,Plant Manager,0,0,E1,E1,,,,,,,,,,,,,,,,,COTTAGE GROVE,3M COMPANY,C,,,,,,,,,,,,,,,,,,,,,,,,,"650 DAWSON DR
NEWARK, DE 19713
(39.650748, -75.731018)"
2020,5321,AGILENT TECHNOLOGIES,Acetonitrile,19804RCKLN538FI,538 FIRST STATE BLVD.,NEWPORT,19804,New Castle,75-05-8,BROOKE JAMES,3026363692,BROOKE.JAMES@AGILENT.COM,RENEE LEWANDOWSKI,3026363668,RENEE_LEWANDOWSKI@AGILENT.COM,325,325998,,,,,,0,1,0,,,0,,,3,5,88,0,,0,,0,0,0,0,0,0,0,,0,0,0,22338,M56,NJ,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,22338,0,0,0,0,0,1.13,93,0,0,0,0,0,93,0,0,93,0,0,"ATTN: BROOKE JAMES, 2850 CENTE",WILMINGTON,,DE,19808,New Castle,Braden Case,,0,0,O,E1,,,,,,,,,,,,,,,,,MIDDLESEX,VEOLIA ES TECHNICAL SOLUTIONS,C,,,,,,,,,,,,,,,,,,,,,,,,,"538 FIRST STATE BLVD.
NEWPORT, DE 19804
(39.712434, -75.634616)"
2020,5322,AGILENT TECHNOLOGIES,Methanol,19804RCKLN538FI,538 FIRST STATE BLVD.,NEWPORT,19804,New Castle,67-56-1,BROOKE JAMES,3026363692,BROOKE.JAMES@AGILENT.COM,RENEE LEWANDOWSKI,3026363668,RENEE_LEWANDOWSKI@AGILENT.COM,325,325998,,,,,,0,1,0,,,0,,,3,5,1862,0,,0,,0,0,0,0,0,0,0,,0,0,0,57721,M56,NJ,42,M56,OH,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,57763,0,0,0,0,0,1.06,1867,0,0,0,0,0,1867,0,0,1867,0,0,"ATTN: BROOKE JAMES, 2850 CENTE",WILMINGTON,,DE,19808,New Castle,Braden Case,,0,0,O,E1,,,,,,,,,,,,,,,,,MIDDLESEX,VEOLIA ES TECHNICAL SOLUTIONS,C,WEST CARROLLTON,VEOLIA ES TECHNICAL SOLUTIONS,C,,,,,,,,,,,,,,,,,,,,,,"538 FIRST STATE BLVD.
NEWPORT, DE 19804
(39.712434, -75.634616)"
2020,5323,AGILENT TECHNOLOGIES,Toluene,19804RCKLN538FI,538 FIRST STATE BLVD.,NEWPORT,19804,New Castle,108-88-3,BROOKE JAMES,3026363692,BROOKE.JAMES@AGILENT.COM,RENEE LEWANDOWSKI,3026363668,RENEE_LEWANDOWSKI@AGILENT.COM,325,325998,,,,,,0,1,0,,,0,,,3,5,42,0,,0,,0,0,0,0,0,0,0,,0,0,388,120283,M56,NJ,388,M50,TX,3,M92,OH,0,,,0,,,0,,,0,,,0,,,0,,,0,120286,0,0,0,0,0,0.77,47,0,0,0,0,0,47,0,0,47,0,0,"ATTN: BROOKE JAMES, 2850 CENTE",,,,,New Castle,Braden Case,,0,0,O,E1,,,,,,,,,,,,,,,,,MIDDLESEX,VEOLIA ES TECHNICAL SOLUTIONS,C,PORT ARTHUR,VEOLIA ES TECHNICAL SOLUTIONS,C,WEST CARROLLTON,VEOLIA ES TECHNICAL SOLUTIONS,C,,,,,,,,,,,,,,,,,,,"538 FIRST STATE BLVD.
NEWPORT, DE 19804
(39.712434, -75.634616)"
2020,5310,AIR LIQUIDE ADVANCED SEPARATIONS,Cyclohexane,19804MDLLP305WA,305 WATER ST,NEWPORT,19804,New Castle,110-82-7,HARRISON ABINTEH,3022252137,HARRISON.ABINTEH@AIRLIQUIDE.COM,HARRISON ABINTEH,3022252137,HARRISON.ABINTEH@AIRLIQUIDE.COM,326,326199,,,,,,0,1,0,,,0,,,3,5,164,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,1.45,169,0,0,0,0,0,169,0,0,169,0,0,,,,,,New Castle,Sarang Gadre,General Manager,0,0,O,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"305 WATER ST
NEWPORT, DE 19804
(39.711757, -75.604151)"
2020,5311,AIR LIQUIDE ADVANCED SEPARATIONS,Methanol,19804MDLLP305WA,305 WATER ST,NEWPORT,19804,New Castle,67-56-1,HARRISON ABINTEH,3022252137,HARRISON.ABINTEH@AIRLIQUIDE.COM,HARRISON ABINTEH,3022252137,HARRISON.ABINTEH@AIRLIQUIDE.COM,326,326199,,,,,,0,1,0,,,0,,,4,0.4,471,0,,0,,0,0,0,0,0,0,0,,0,0,183466,183466,M54,MD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,3173623,0,0,0,0,1.78,471.4,0,0,0,0,0,471.4,0,0,471.4,0,0,,,,,,New Castle,Sarang Gadre,General Manager,0,0,E2,E2,,,,,,,,,,,,,,,,,BALTIMORE,CLEAN HARBORS OF BALTIMORE INC,O,,,,,,,,,,,,,,,,,,,,,,,,,"305 WATER ST
NEWPORT, DE 19804
(39.711757, -75.604151)"
